Name,Status,County,1990,2000,2010,2020
Agoura Hills, City, Los Angeles,20461,20466,20336,20297
Alhambra, City, Los Angeles,82129,85035,83073,82868
Arcadia, City, Los Angeles,48741,52883,56242,56664
Artesia, City, Los Angeles,15451,16361,16522,16395
Avalon, City, Los Angeles,3002,3316,3728,3458
Azusa, City, Los Angeles,40819,44520,46574,50265
Baldwin Park, City, Los Angeles,69344,75681,75397,72176
Bell, City, Los Angeles,34266,36649,35469,33561
Bell Gardens, City, Los Angeles,42319,44075,42058,39514
Bellflower, City, Los Angeles,61848,73150,76625,79216
Beverly Hills, City, Los Angeles,32038,33515,33923,32701
Bradbury, City, Los Angeles,850,863,1047,925
Burbank, City, Los Angeles,93632,100317,103360,107335
Calabasas, City, Los Angeles,14713,21114,23471,23239
Carson, City, Los Angeles,84067,89723,91711,95553
Cerritos, City, Los Angeles,53345,51378,49043,49573
Claremont, City, Los Angeles,33191,33827,34867,37261
Commerce, City, Los Angeles,12142,12491,12835,12363
Compton, City, Los Angeles,90002,93038,96373,95712
Covina, City, Los Angeles,43275,46534,47797,51275
Cudahy, City, Los Angeles,22886,24218,23809,22808
Culver City, City, Los Angeles,38858,38806,38833,40769
Diamond Bar, City, Los Angeles,53762,56776,55566,55070
Downey, City, Los Angeles,91488,107366,111775,114358
Duarte, City, Los Angeles,21484,21657,21325,21722
El Monte, City, Los Angeles,105890,116102,113580,109447
El Segundo, City, Los Angeles,15189,16031,16656,17265
Gardena, City, Los Angeles,55530,58073,58829,61022
Glendale, City, Los Angeles,180040,194943,191682,196534
Glendora, City, Los Angeles,47864,49306,50247,52577
Hawaiian Gardens, City, Los Angeles,13654,14787,14273,14146
Hawthorne, City, Los Angeles,70828,84149,84171,88077
Hermosa Beach, City, Los Angeles,18046,18737,19509,19736
Hidden Hills, City, Los Angeles,1721,1874,1848,1725
Huntington Park, City, Los Angeles,56027,61303,58127,54883
Industry, City, Los Angeles,1532,1216,217,261
Inglewood, City, Los Angeles,110973,112276,109605,107759
Irwindale, City, Los Angeles,1131,1372,1418,1467
La Ca??ada Flintridge, City, Los Angeles,19148,20332,20254,20572
La Habra Heights, City, Los Angeles,5372,5147,5308,5681
La Mirada, City, Los Angeles,40455,46783,48527,47987
La Puente, City, Los Angeles,36833,41307,39832,38054
La Verne, City, Los Angeles,30800,31795,30917,31581
Lakewood, City, Los Angeles,73512,79355,80086,82497
Lancaster, City, Los Angeles,97427,118487,156653,173511
Lawndale, City, Los Angeles,27315,31760,32769,31826
Lomita, City, Los Angeles,19607,20036,20220,20924
Long Beach, City, Los Angeles,429789,461412,462189,466775
Los Angeles, City, Los Angeles,3485567,3694257,3793206,3898767
Lynwood, City, Los Angeles,61855,70202,69758,67256
Malibu, City, Los Angeles,9852,12573,12629,10649
Manhattan Beach, City, Los Angeles,31991,33814,35130,35503
Maywood, City, Los Angeles,27907,28105,27380,25123
Monrovia, City, Los Angeles,35423,36911,36600,37937
Montebello, City, Los Angeles,59552,62322,62483,62623
Monterey Park, City, Los Angeles,60704,59969,60271,61109
Norwalk, City, Los Angeles,94232,103539,105549,102762
Palmdale, City, Los Angeles,78023,116891,152731,169415
Palos Verdes Estates, City, Los Angeles,13542,13297,13434,13353
Paramount, City, Los Angeles,47591,54899,54107,53748
Pasadena, City, Los Angeles,131969,133842,137085,138719
Pico Rivera, City, Los Angeles,59188,63401,62964,62079
Pomona, City, Los Angeles,132216,147966,149235,151445
Rancho Palos Verdes, City, Los Angeles,41771,41165,41688,42279
Redondo Beach, City, Los Angeles,60542,63251,66870,71560
Rolling Hills, City, Los Angeles,1848,1874,1860,1740
Rolling Hills Estates, City, Los Angeles,7557,7819,8064,8276
Rosemead, City, Los Angeles,51551,53414,53753,51187
San Dimas, City, Los Angeles,32795,34842,33373,34920
San Fernando, City, Los Angeles,22352,23633,23652,23966
San Gabriel, City, Los Angeles,37249,39581,39644,39575
San Marino, City, Los Angeles,13021,12980,13104,12511
Santa Clarita, City, Los Angeles,122690,163281,208778,228679
Santa Fe Springs, City, Los Angeles,15438,17209,16140,19210
Santa Monica, City, Los Angeles,86599,84082,89742,93075
Sierra Madre, City, Los Angeles,10788,10578,10917,11275
Signal Hill, City, Los Angeles,8371,9378,11018,11850
South El Monte, City, Los Angeles,20711,20900,20096,19561
South Gate, City, Los Angeles,86308,96317,94396,92727
South Pasadena, City, Los Angeles,23865,24323,25605,26942
Temple City, City, Los Angeles,31136,33777,35557,36492
Torrance, City, Los Angeles,133507,137575,145309,147071
Vernon, City, Los Angeles,125,126,112,221
Walnut, City, Los Angeles,29149,30002,29166,28437
West Covina, City, Los Angeles,96015,103384,106109,109501
West Hollywood, City, Los Angeles,36021,35943,34335,35759
Westlake Village, City, Los Angeles,7402,8321,8303,8028
Whittier, City, Los Angeles,77663,83721,85313,87302
